Address,Adopter,Archived,Chlorosis,City,Client Site,Code,Common Name,Community,Crown Condition,Crown Dieback,Crown Exposure,Crown Light Exposure,Cultivar,Date Added,Date Planted,DBH,DBH Range,DBH Stem 1,DBH Stem 2,DBH Stem 3,DBH Stem 4,DBH Stem 5,DBH Stem 6,Email,Family,Genus,Geometry,Has Ecobenefits,Height Range,Height To Crown,Inspection Cycle,Last Inspection,Last Modified,Last Modified User,Latin Name,Latitude,Longitude,Lower Trunk Damage,Main Partner,Mulching,Next Inspection,Number of Stems (Multi Calc),Nursery,Other Damage,Phone,Planting Status,Positive Contact at planting?,Primary Grant Funder,Primary ID,Project Name,Project Specific Funder,Pruning,Reinventory Caliper,Reinventory Condition,Reinventory DBH,Root Flare,Season,Site Type,Staking,Status,Tag,Tree Height (Estimated),Tree Id,Tree Work-Other,Tree Work-PHC,Tree Work-Pruning,User
,,No,,,TK Inventory,TIAM,American linden,,Good,,,Three sides of the crown are exposed to light.,,,,24,24-30in,,,,,,,,,Tilia,0101000020110F00006EC6D0B65A9862C1540A88B30A925341,No,N/A,,,,,,Tilia americana,41.794745999999996,-87.578605,,,,,,,,,,,,188987,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,GIBI,Ginkgo,,Good,,,Three sides of the crown are exposed to light.,,,,12,12-18in,,,,,,,,,Ginkgo,0101000020110F0000D34C0DBA779862C1E58F24F333925341,No,N/A,,,,,,Ginkgo biloba,41.795851,-87.58069,,,,,,,,,,,,188986,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACRU,Red maple,,Good,,,Three sides of the crown are exposed to light.,,,,3,3-6in,,,,,,,,,Acer,0101000020110F000069E4440D5D9862C16CB2D73E09925341,No,N/A,,,,,,Acer rubrum,41.79470700000001,-87.578773,,,,,,,,,,,,188985,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,TIAM,American linden,,Poor,,,One side of the crown is exposed to light.,,,,24,24-30in,,,,,,,,,Tilia,0101000020110F00004B4DD5D2599862C12AFD694A0A925341,No,N/A,,,,,,Tilia americana,41.79473500000001,-87.578541,,,,,,,,,,,,188984,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,OSVI,American hophornbeam,,Poor,,,One side of the crown is exposed to light.,,,,6,6-12in,,,,,,,,,Ostrya,0101000020110F000004609C6E589862C179F779520E925341,No,N/A,,,,,,Ostrya virginiana,41.794842999999986,-87.578441,,,,,,,,,,,,188983,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,OSVI,American hophornbeam,,Poor,,,One side of the crown is exposed to light.,,,,6,6-12in,,,,,,,,,Ostrya,0101000020110F000097121E19589862C13728C4850B925341,No,N/A,,,,,,Ostrya virginiana,41.794768,-87.578417,,,,,,,,,,,,188982,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,GIBI,Ginkgo,,Good,,,Four sides of the crown are exposed to light.,,,,12,12-18in,,,,,,,,,Ginkgo,0101000020110F00007CA0F7B1759862C12C29A2A030925341,No,N/A,,,,,,Ginkgo biloba,41.795761999999996,-87.580544,,,,,,,,,,,,188981,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,GIBI,Ginkgo,,Good,,,Four sides of the crown are exposed to light.,,,,12,12-18in,,,,,,,,,Ginkgo,0101000020110F0000447C17B9759862C1CFFDFF8E2C925341,No,N/A,,,,,,Ginkgo biloba,41.795652999999994,-87.580546,,,,,,,,,,,,188980,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,GIBI,Ginkgo,,Good,,,Four sides of the crown are exposed to light.,,,,24,24-30in,,,,,,,,,Ginkgo,0101000020110F000001199CF6779862C111E8335631925341,No,N/A,,,,,,Ginkgo biloba,41.795781000000005,-87.580707,,,,,,,,,,,,188979,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,TIAM,American linden,,Good,,,Crown is fully exposed to light.,,,,1,0-3in,,,,,,,,,Tilia,0101000020110F0000A6B0D9B2689862C11C7D81B9E7915341,No,N/A,,,,,,Tilia americana,41.79380900000002,-87.57961,,,,,,,,,,,,188978,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,OSVI,American hophornbeam,,Good,,,Crown is fully exposed to light.,,,,6,6-12in,,,,,,,,,Ostrya,0101000020110F0000C21FD61A639862C1234C63F8F8915341,No,N/A,,,,,,Ostrya virginiana,41.794271000000016,-87.579208,,,,,,,,,,,,188977,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,GLTR,Honey locust,,Good,,,Crown is fully exposed to light.,,,,1,0-3in,,,,,,,,,Gleditsia,0101000020110F00002740A085549862C1C946ED9915925341,No,N/A,,,,,,Gleditsia triacanthos,41.795037999999984,-87.57816,,,,,,,,,,,,188976,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,GLTR,Honey locust,,Good,,,Crown is fully exposed to light.,,,,1,0-3in,,,,,,,,,Gleditsia,0101000020110F00004DA0E576539862C1F102764B14925341,No,N/A,,,,,,Gleditsia triacanthos,41.795003,-87.578084,,,,,,,,,,,,188975,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,GLTR,Honey locust,,Good,,,Crown is fully exposed to light.,,,,1,0-3in,,,,,,,,,Gleditsia,0101000020110F0000D5095090549862C17ED4E49513925341,No,N/A,,,,,,Gleditsia triacanthos,41.794984,-87.578163,,,,,,,,,,,,188974,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,PRSE1,Black cherry,,Fair,,,Two sides of the crown are exposed to light.,,,,6,6-12in,,,,,,,,,Prunus,0101000020110F0000B03886A4599862C140647FAA0F925341,No,N/A,,,,,,Prunus serotina,41.794879,-87.578528,,,,,,,,,,,,188973,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,TIAM,American linden,,Fair,,,Three sides of the crown are exposed to light.,,,,24,24-30in,,,,,,,,,Tilia,0101000020110F00007814A6AB599862C14B8430240A925341,No,N/A,,,,,,Tilia americana,41.79473099999999,-87.57853,,,,,,,,,,,,188972,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,OSVI,American hophornbeam,,Fair,,,Four sides of the crown are exposed to light.,,,,12,12-18in,,,,,,,,,Ostrya,0101000020110F0000F5F88DD2519862C118ED2D6E17925341,No,N/A,,,,,,Ostrya virginiana,41.795087,-87.577966,,,,,,,,,,,,188971,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,CR,Hawthorn,,Fair,,,Three sides of the crown are exposed to light.,,,,3,3-6in,,,,,,,,,Crataegus,0101000020110F00005BE114A5699862C1007E5244E1915341,No,N/A,,,,,,Crataegus,41.79363599999999,-87.579678,,,,,,,,,,,,188970,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,OSVI,American hophornbeam,,Dead,,,Crown is fully shaded.,,,,12,12-18in,,,,,,,,,Ostrya,0101000020110F000092FEA2D5509862C1B0C56B9618925341,No,N/A,,,,,,Ostrya virginiana,41.795117999999995,-87.577895,,,,,,,,,,,,188969,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,Two sides of the crown are exposed to light.,,,,24,24-30in,,,,,,,,,Acer,0101000020110F0000A545A9B63C9862C15546FA2F31925341,No,N/A,,,,,,Acer saccharum,41.795777000000015,-87.576449,,,,,,,,,,,,188968,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Dead,,,Two sides of the crown are exposed to light.,,,,12,12-18in,,,,,,,,,Acer,0101000020110F00006EC112535A9862C13613AE200D925341,No,N/A,,,,,,Acer saccharum,41.794811,-87.578577,,,,,,,,,,,,188967,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,One side of the crown is exposed to light.,,,,12,12-18in,,,,,,,,,Acer,0101000020110F00009EDE1DCF3B9862C16F7057C132925341,No,N/A,,,,,,Acer saccharum,41.795819,-87.576384,,,,,,,,,,,,188966,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,Four sides of the crown are exposed to light.,,,,12,12-18in,,,,,,,,,Acer,0101000020110F0000DF8ED2825D9862C112A4F82B63925341,No,N/A,,,,,,Acer saccharum,41.79711599999999,-87.578806,,,,,,,,,,,,188965,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,Four sides of the crown are exposed to light.,,,,12,12-18in,,,,,,,,,Acer,0101000020110F00003D13F86C5C9862C103585BC860925341,No,N/A,,,,,,Acer saccharum,41.797051999999994,-87.578728,,,,,,,,,,,,188964,,,,,Good,,,,,,Alive,,,,,,,molly
,,No,,,TK Inventory,ACSA2,Sugar maple,,Good,,,Four sides of the crown are exposed to light.,,,,12,12-18in,,,,,,,,,Acer,0101000020110F00007E85AD5A5B9862C1D60417F45E925341,No,N/A,,,,,,Acer saccharum,41.797003,-87.578651,,,,,,,,,,,,188963,,,,,Good,,,,,,Alive,,,,,,,molly
